161,11,SAN FELIPE,
162,11,SAN ANDRES VILLA SECA,
163,11,CHAMPERICO,
164,11,NUEVO SAN CARLOS,
165,11,EL ASINTAL,
166,12,SAN MARCOS,
167,12,SAN PEDRO SACATEPÉQUEZ (SM),
168,12,SAN ANTONIO SACATEPEQUEZ,
169,12,COMITANCILLO,
170,12,SAN MIGUEL IXTAHUACAN,
171,12,CONCEPCION TUTUAPA,
172,12,TACANA,
173,12,SIBINAL,
174,12,TAJUMULCO,
175,12,TEJUTLA,
176,12,SAN RAFAEL PIE DE LA CUESTA,
177,12,NUEVO PROGRESO,
178,12,EL TUMBADOR,
179,12,SAN JOSE EL RODEO,
180,12,MALACATAN,
181,12,CATARINA,
182,12,AYUTLA,
183,12,OCOS,
184,12,SAN PABLO,
185,12,EL QUETZAL,
186,12,LA REFORMA,
187,12,PAJAPITA,
188,12,IXCHIGUAN,
189,12,SAN JOSE OJETENAM,
190,12,SAN CRISTOBAL CUCHO,
191,12,SIPACAPA,
192,12,ESQUIPULAS PALO GORDO,
193,12,RIO BLANCO,
194,12,SAN LORENZO (SM),
195,13,HUEHUETENANGO,
196,13,CHIANTLA,
197,13,MALACATANCITO,
198,13,CUILCO,
199,13,NENTON,
200,13,SAN PEDRO NECTA,
201,13,JACALTENANGO,
202,13,SOLOMA,
203,13,SAN ILDEFONSO IXTAHUACAN,
204,13,SANTA BARBARA (HUE),
205,13,LA LIBERTAD (HUE),
206,13,LA DEMOCRACIA (HUE),
207,13,SAN MIGUEL ACATAN,
208,13,SAN RAFAEL LA INDEPENDENCIA,
209,13,TODOS SANTOS CUCHUMATAN,
210,13,SAN JUAN ATITAN,
211,13,SANTA EULALIA,
212,13,SAN MATEO IXTATAN,
213,13,COLOTENANGO,
214,13,SAN SEBASTIAN HUEHUETENANGO,
215,13,TECTITAN,
216,13,CONCEPCION HUISTA,
217,13,SAN JUAN IXCOY,
218,13,SAN ANTONIO HUISTA,
219,13,SAN SEBASTIAN COATAN,
220,13,SANTA CRUZ BARILLAS,
221,13,AGUACATAN,
222,13,SAN RAFAEL PETZAL,
223,13,SAN GASPAR IXCHIL,
224,13,SANTIAGO CHIMALTENANGO,
225,13,SANTA ANA HUISTA,
226,14,SANTA CRUZ DEL QUICHE,
227,14,CHICHE,
228,14,CHINIQUE,
229,14,ZACUALPA,
230,14,CHAJUL,
231,14,SANTO TOMAS CHICHICASTENANGO,
232,14,PATZITE,
233,14,SAN ANTONIO ILOTENANGO,
234,14,SAN PEDRO JOCOPILAS,
235,14,CUNEN,
236,14,SAN JUAN COTZAL,
237,14,JOYABAJ,
238,14,NEBAJ,
239,14,SAN ANDRES SAJCABAJA,
240,14,USPANTAN,
241,14,SACAPULAS,
242,14,SAN BARTOLOME JOCOTENANGO,
243,14,CANILLA,
244,14,CHICAMAN,
245,14,IXCAN,
246,14,PACHALUM,
247,15,SALAMA,
248,15,SAN MIGUEL CHICAJ,
249,15,RABINAL,
250,15,CUBULCO,
251,15,GRANADOS,
252,15,EL CHOL,
253,15,SAN JERONIMO,
254,15,PURULHA,
255,16,COBAN,
256,16,SANTA CRUZ VERAPAZ,
257,16,SAN CRISTOBAL VERAPAZ,
258,16,TACTIC,
259,16,TAMAHU,
260,16,TUCURU,
261,16,PANZOS,
262,16,SENAHU,
263,16,SAN PEDRO CARCHA,
264,16,SAN JUAN CHAMELCO,
265,16,LANQUIN,
266,16,SANTA MARIA CAHABON,
267,16,CHISEC,
268,16,CHAHAL,
269,16,FRAY BARTOLOME DE LAS CASAS,
270,17,FLORES,
271,17,SAN JOSE,
272,17,SAN BENITO,
273,17,SAN ANDRES,
274,17,LA LIBERTAD (PET),
275,17,SAN FRANCISCO,
276,17,SANTA ANA,
277,17,DOLORES,
278,17,SAN LUIS,
279,17,SAYAXCHE,
280,17,MELCHOR DE MENCOS,
281,17,POPTUN,
282,18,PUERTO BARRIOS,
283,18,LIVINGSTON,
284,18,EL ESTOR,
285,18,MORALES,
286,18,LOS AMATES,
287,19,ZACAPA,
288,19,ESTANZUELA,
289,19,RIO  HONDO,
290,19,GUALAN,
291,19,TECULUTAN,
292,19,USUMATLAN,
293,19,CABAÑAS,
294,19,SAN DIEGO,
295,19,LA UNION,
296,19,HUITE,
297,20,CHIQUIMULA,
298,20,SAN JOSE LA ARADA,
299,20,SAN JUAN ERMITA,
300,20,JOCOTAN,
301,20,CAMOTAN,
302,20,OLOPA,
303,20,ESQUIPULAS,
304,20,CONCEPCION LAS MINAS,
305,20,QUEZALTEPEQUE,
306,20,SAN JACINTO,
307,20,IPALA,
308,21,JALAPA,
309,21,SAN PEDRO PINULA,
310,21,SAN LUIS JILOTEPEQUE,
311,21,SAN MANUEL CHAPARRON,
312,21,SAN CARLOS ALZATATE,
313,21,MONJAS,
314,21,MATAQUESCUINTLA,
315,22,JUTIAPA,
316,22,EL PROGRESO,
317,22,SANTA CATARINA MITA,
318,22,AGUA BLANCA,
319,22,ASUNCION MITA,
320,22,YUPILTEPEQUE,
321,22,ATESCATEMPA,
322,22,JEREZ,
323,22,EL ADELANTO,
324,22,ZAPOTITLAN,
325,22,COMAPA,
326,22,JALPATAGUA,
327,22,CONGUACO,
328,22,MOYUTA,
329,22,PASACO,
330,22,SAN JOSE ACATEMPA,
331,22,QUEZADA,
332,6,SANTA ROSA,
334,2,SAN ANTONIO LA PAZ,
335,16,SANTA MARIA CAHABON,
336,14,SANTO TOMAS CHICHICASTENANGO,
337,12,SAN PEDRO SACATEPEQUEZ,
338,5,PUERTO DE SAN JOSE,
339,3,SAN LUCAS,
340,1,SANTA ELENA BARILLAS,
341,1,SAN MIGUEL PETAPA,
342,4,SAN JUAN COMALAPA,
343,22,SAN JOSE ACATEMPA,
344,1,BOCA DEL MONTE,
345,4,SAN PEDRO YEPOCAPA,
346,12,CIUDAD TECÚN UMAN,
347,18,SANTO TOMAS DE CASTILLA,
348,13,SAN ILDEFONSO IXTAHUACAN,
349,13,SANTA CRUZ BARILLAS,
350,12,SAN JOSE EL RODEO,
352,12,SAN PEDRO SACATEPEQUEZ,
355,23,EXTRANJERO,
356,16,SANTA CATALINA LA TINTA,
357,12,SAN PEDRO SACATEPEQUEZ,
358,14,CHICHICASTENANGO,
359,13,UNION CANTIL,
360,16,CAHABON,
361,16,RAXRUHA,
362,17,LAS CRUCES,
363,12,"LA BLANCA, SAN MARCOS",
364,19,"SAN JORGE, ZACAPA",
365,17,"EL CHAL, PETEN",
366,10,SAN JOSÉ LA MÁQUINA,
367,5,SIPACATE,
368,13,PETATÁN,
